#SampleID,Vendor,Timepoint,Diet,Sex,Group,Identity
JP380,Envigo,Endpoint,Chow,Female,Env_Chow,VF_CHOW
JP381,Envigo,Endpoint,Chow,Female,Env_Chow,VF_CHOW
JP385,Envigo,Endpoint,Chow,Male,Env_Chow,VM_CHOW
JP386,Envigo,Endpoint,Chow,Male,Env_Chow,VM_CHOW
JP387,Envigo,Endpoint,Chow,Male,Env_Chow,VM_CHOW
JP392,JAX,Endpoint,Chow,Female,JAX_Chow,XF_CHOW
JP393,JAX,Endpoint,Chow,Female,JAX_Chow,XF_CHOW
JP394,JAX,Endpoint,Chow,Female,JAX_Chow,XF_CHOW
JP399,JAX,Endpoint,Chow,Male,JAX_Chow,XM_CHOW
JP400,JAX,Endpoint,Chow,Male,JAX_Chow,XM_CHOW
JP401,JAX,Endpoint,Chow,Male,JAX_Chow,XM_CHOW
JP496,CR,Baseline,Chow,Diet,,C_Chow
JP497,Tac,Baseline,Chow,Diet,,T_Chow
JP562,JAX,Baseline,Chow,Diet,,X_Chow
JP563,Envigo,Baseline,Chow,Diet,,E_Chow
JP564,In_house_Chow,Endpoint,Chow,Diet,,In_house_Chow
JP565,In_house_HFD,Endpoint,HFD,Diet,,In_house_HFD
JP566,In_house_LFD,Endpoint,LFD,Diet,,In_house_LFD
